datetime,project,type,title,author,url,notes
2024-07-31 00:00:00,gt,blog,Everything new that's in {gt} 0.11.0,Posit Team,https://posit.co/blog/everything-new-thats-in-gt-0-11-0/,Major release with six new datasets
2024-01-25 00:00:00,gt,blog,All the new features in {gt} 0.10.0,Posit Team,https://posit.co/blog/new-features-in-gt-0-10-0/,Major release announcement
2022-12-02 00:00:00,gt,blog,New Features and Serious Upgrades in {gt} 0.8.0,Posit Team,https://posit.co/blog/new-features-upgrades-in-gt-0-8-0/,Major feature update
2022-09-26 00:00:00,gt,blog,All the New Things in {gt} 0.7.0,Posit Team,https://posit.co/blog/all-new-things-in-gt-0-7-0/,New features release
2022-06-10 00:00:00,gt,blog,Changes (for the better) in {gt} 0.6.0,Posit Team,https://posit.co/blog/changes-for-the-better-in-gt-0-6-0/,Feature improvements
2023-12-07 00:00:00,great-tables,blog,Introducing Great Tables for Python v0.1.0,Posit Team,https://posit.co/blog/introducing-great-tables-for-python-v0-1-0/,Initial release announcement
2024-07-22 00:00:00,shiny-python,blog,Announcing Shiny for Python 1.0,Shiny Team,https://shiny.posit.co/blog/posts/shiny-python-1.0/,1.0 release with API stability
2023-04-18 00:00:00,shiny-python,blog,Shiny for Python out of alpha,Winston Chang,https://shiny.posit.co/blog/posts/shiny-for-python-out-of-alpha/,General availability announcement
2023-07-03 00:00:00,shiny-python,blog,Shiny for Python 0.4.0,Posit Team,https://posit.co/blog/shiny-for-python-0-4-0/,Data grids and better sidebars
2025-04-15 00:00:00,shiny-python,blog,Shiny 1.4 brings bookmarking and Generative AI docs,Shiny Team,https://shiny.posit.co/blog/posts/shiny-python-1.4/,Bookmarking feature and AI docs
2023-11-30 00:00:00,shiny-r,blog,Shiny for R updates: new default look and dark mode and shinylive updates and more,Carson Sievert and Garrick Aden-Buie,https://shiny.posit.co/blog/posts/shiny-r-updates-new-look-dark-mode-shinylive/,UI updates and dark mode
2022-12-20 00:00:00,shiny-r,blog,Announcing new R Shiny UI components,Carson Sievert,https://shiny.posit.co/blog/posts/bslib-ui-components/,New bslib UI components
2022-12-15 00:00:00,shiny-r,blog,The Past and Future of Shiny,Joe Cheng,https://shiny.posit.co/blog/posts/the-past-and-future-of-shiny-joe-cheng/,10th anniversary post
2025-11-20 00:00:00,shiny-python,blog,Tool Calling UI in shinychat,Garrick Aden-Buie and Carson Sievert and Barret Schloerke,https://shiny.posit.co/blog/posts/shinychat-tool-ui/,LLM tool calling UI features
2025-09-15 00:00:00,shiny-python,blog,Build Your First LLM App with Shiny for Python or R,Veerle Eeftink - van Leemput,https://shiny.posit.co/blog/posts/shiny-side-of-llms-part-3/,LLM tutorial series part 3
2025-09-05 00:00:00,shiny-python,blog,Talking to LLMs: From Prompt to Response,Veerle Eeftink - van Leemput,https://shiny.posit.co/blog/posts/shiny-side-of-llms-part-2/,LLM tutorial series part 2
2025-07-31 00:00:00,shiny-python,blog,What LLMs Actually Do (and What They Don't),Veerle Eeftink - van Leemput,https://shiny.posit.co/blog/posts/shiny-side-of-llms-part-1/,LLM tutorial series part 1
2025-10-13 00:00:00,quarto,blog,Quarto 1.8,Charlotte Wickham,https://quarto.org/docs/blog/posts/2025-10-13-1.8-release/,Brand support and accessibility checks
2025-04-28 00:00:00,quarto,blog,Quarto 1.7,Charlotte Wickham,https://quarto.org/docs/blog/posts/2025-04-28-1.7-release/,Dark mode improvements
2024-01-24 00:00:00,quarto,blog,Quarto 1.4,Charlotte Wickham,https://quarto.org/docs/blog/posts/2024-01-24-1.4-release/,Dashboards and Typst support
2022-07-28 00:00:00,quarto,blog,Announcing Quarto a new scientific and technical publishing system,Posit Team,https://posit.co/blog/announcing-quarto-a-new-scientific-and-technical-publishing-system/,Initial Quarto announcement
2023-05-15 00:00:00,quarto,blog,Get Started with Quarto,Mine Çetinkaya-Rundel,https://quarto.org/docs/blog/posts/2023-05-15-get-started/,Getting started guide
2025-07-28 00:00:00,quarto,blog,quarto R package v1.5.0: Streamlined Workflows for R Users,Christophe Dervieux,https://quarto.org/docs/blog/posts/2025-07-28-R-package-release-1.5/,R package update
2025-10-27 00:00:00,quarto,blog,posit::conf(2025) Quarto workshop materials,Charlotte Wickham,https://quarto.org/docs/blog/posts/2025-10-27-conf-workshops-materials/,Workshop materials
2024-12-04 00:00:00,quarto,blog,Quarto website video series,Charlotte Wickham and Mine Çetinkaya-Rundel,https://quarto.org/docs/blog/posts/2024-12-04-websites-workshop/,Video tutorial series
2024-01-23 00:00:00,pointblank-r,blog,pointblank v0.12.2 Release,pointblank Team,https://rstudio.github.io/pointblank/news/,New validation features
2022-07-14 00:00:00,pointblank-r,blog,pointblank v0.11.0 Release,pointblank Team,https://rstudio.github.io/pointblank/news/,BigQuery support and new functions
2020-11-20 00:00:00,pointblank-r,blog,pointblank v0.6.0 Release,pointblank Team,https://rstudio.github.io/pointblank/news/,Information Management workflow
2025-07-18 00:00:00,great-tables,blog,Great Tables v0.18.0: Easy Column Spanners and More!,Rich Iannone,,
2025-07-03 00:00:00,great-tables,blog,Adding Plots to Great Tables,Jules Walzer-Goldfeld and Michael Chow,,
2025-06-24 00:00:00,great-tables,blog,Great Tables + marimo = Interactive Tables,Rich Iannone and Jerry Wu,,
2025-04-16 00:00:00,great-tables,blog,Great Tables: Becoming the Polars .style Property,Michael Chow,,
2025-02-11 00:00:00,great-tables,blog,How We Used Great Tables to Supercharge Reporting in Pointblank,Rich Iannone,,
2025-01-24 00:00:00,great-tables,blog,Style Table Body with mask= in loc.body(),Jerry Wu,,
2024-12-19 00:00:00,great-tables,blog,Great Tables v0.15.0: Flags Icons and Other Formatting Goodies,Rich Iannone,,
2024-12-19 00:00:00,great-tables,blog,Contributing to Public Transit Data Analysis and Tooling,Michael Chow,,
2024-12-13 00:00:00,great-tables,blog,Rendering images anywhere in Great Tables,Jerry Wu,,
2024-11-13 00:00:00,great-tables,blog,Great Tables: Generating LaTeX Output for PDF,Rich Iannone,,
2024-10-10 00:00:00,great-tables,blog,Great Tables v0.13.0: Applying styles to all table locations,Rich Iannone and Michael Chow,,
2024-09-30 00:00:00,great-tables,blog,Great Tables v0.12.0: Google Fonts and zebra stripes,Rich Iannone,,
2024-07-08 00:00:00,great-tables,blog,Great Tables for Scientific Publishing,Rich Iannone,,
2024-05-16 00:00:00,great-tables,blog,PyCon 2024: Making Beautiful Publication Quality Tables is Possible in 2024,Michael Chow,,
2024-04-24 00:00:00,great-tables,blog,Great Tables is now BYODF (Bring Your Own DataFrame),Michael Chow,,
2024-04-04 00:00:00,great-tables,blog,The Design Philosophy of Great Tables,Rich Iannone and Michael Chow,,
2024-03-19 00:00:00,great-tables,blog,Great Tables v0.4.0: Nanoplots and More,Rich Iannone,,
2024-02-16 00:00:00,great-tables,blog,Great Tables v0.3.0: So Many Style Options!,Rich Iannone,,
2024-02-08 00:00:00,great-tables,blog,Using Polars to Win at Super Bowl Squares,Michael Chow,,
2024-01-24 00:00:00,great-tables,blog,Great Tables v0.2.0: Easy Data Coloring,Rich Iannone,,
2024-01-08 00:00:00,great-tables,blog,Great Tables: The Polars DataFrame Styler of Your Dreams,Michael Chow,,
2024-01-04 00:00:00,great-tables,blog,Introducing Great Tables,Rich Iannone,,
